Game Date,Matchup,Result,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"Apr 11, 2025",LAL vs. HOU,W,2214611,5,4,.51425.,0,1,1,1,0,0,0,4,4,8,1,0,1,1,5
"Apr 09, 2025",LAL @ DAL,W,36271120,5,5,.0040.,0,5,6,8,3,.32,5,7,3,1,0,2,2,1,8
"Apr 08, 2025",LAL @ OKC,L,3528819,4,2,.13650.0,9,1,0,9,0,.0,0,7,7,3,1,0,6,1,-23
"Apr 06, 2025",LAL @ OKC,W,3419916,5,6,.3111,0,0,0,0,0,.0,2,1,3,7,1,0,2,0,7
"Apr 04, 2025",LAL vs. NOP,W,3327917,5,2,.92728.,6,7,8,8,7,.5,0,0,0,8,2,0,1,1,7
"Apr 11, 2025",LAL vs. HOU,W,2214611,5,4,.51425.,0,1,1,1,0,0,0,4,4,8,1,0,1,1,5
"Apr 09, 2025",LAL @ DAL,W,36271120,5,5,.0040.,0,5,6,8,3,.32,5,7,3,1,0,2,2,1,8
"Apr 08, 2025",LAL @ OKC,L,3528819,4,2,.13650.0,9,1,0,9,0,.0,0,7,7,3,1,0,6,1,-23
"Apr 06, 2025",LAL @ OKC,W,3419916,5,6,.3111,0,0,0,0,0,.0,2,1,3,7,1,0,2,0,7
"Apr 04, 2025",LAL vs. NOP,W,3327917,5,2,.92728.,6,7,8,8,7,.5,0,0,0,8,2,0,1,1,7
"Apr 11, 2025",LAL vs. HOU,W,2214611,5,4,.51425.,0,1,1,1,0,0,0,4,4,8,1,0,1,1,5
"Apr 09, 2025",LAL @ DAL,W,36271120,5,5,.0040.,0,5,6,8,3,.32,5,7,3,1,0,2,2,1,8
"Apr 08, 2025",LAL @ OKC,L,3528819,4,2,.13650.0,9,1,0,9,0,.0,0,7,7,3,1,0,6,1,-23
"Apr 06, 2025",LAL @ OKC,W,3419916,5,6,.3111,0,0,0,0,0,.0,2,1,3,7,1,0,2,0,7
"Apr 04, 2025",LAL vs. NOP,W,3327917,5,2,.92728.,6,7,8,8,7,.5,0,0,0,8,2,0,1,1,7
"Apr 11, 2025",LAL vs. HOU,W,2214611,5,4,.51425.,0,1,1,1,0,0,0,4,4,8,1,0,1,1,5
"Apr 09, 2025",LAL @ DAL,W,36271120,5,5,.0040.,0,5,6,8,3,.32,5,7,3,1,0,2,2,1,8
"Apr 08, 2025",LAL @ OKC,L,3528819,4,2,.13650.0,9,1,0,9,0,.0,0,7,7,3,1,0,6,1,-23
"Apr 06, 2025",LAL @ OKC,W,3419916,5,6,.3111,0,0,0,0,0,.0,2,1,3,7,1,0,2,0,7
"Apr 04, 2025",LAL vs. NOP,W,3327917,5,2,.92728.,6,7,8,8,7,.5,0,0,0,8,2,0,1,1,7
